name,short_code,type,region,district,latitude,longitude,zone
KASANGA MISSION,102401-7,private,Morogoro,Morogoro DC,-7.19666,37.74436,coastal
Kasange,102402-5,public,Kagera,Ngara DC,-2.44414,30.53767,lake
KASANGEZI,102403-3,public,Kigoma,Kasulu DC,-4.777712,30.036449,central
KASANII,124297-3,public,Singida,Manyoni DC,-6.08972,34.72412,central
KASANSA,121606-8,public,Katavi,Mpimbwe DC,-7.46123,31.38927,shighland
KASANU,102406-6,public,Songwe,Momba DC,-8.369221,32.362852,shighland
KASANZU,121995-5,private,Lindi,Kilwa DC,-9.51872,39.48919,southern
KASAPA,124367-4,public,Rukwa,Nkasi DC,-7.95754,31.31184,shighland
KASAPO,102407-4,public,Kilimanjaro,Same DC,-4.33708,37.8582,northern
KASATO,121889-0,public,Kagera,Biharamulo DC,,,lake
KASEKE,102408-2,public,Kigoma,Kigoma DC,-5.01667,29.7833,central
Kasekela,102409-0,public,Rukwa,Sumbawanga DC,-7.46799,31.44349,shighland
KASEKESE,122153-0,private,Katavi,Tanganyika DC,-6.55199,30.688606,shighland
KASEKESE,102410-8,public,Katavi,Tanganyika DC,-6.55233,30.68803,shighland
KASELA,102411-6,public,Tabora,Nzega DC,-4.0982,33.007,central
KASELYA,102412-4,public,Singida,Iramba DC,-4.69654,34.50416,central
KASEMA,102414-0,private,Rukwa,Sumbawanga MC,-7.960423,31.614008,shighland
KASEME,102415-7,public,Geita,Geita DC,-3.10909,31.95451,lake
KASENGA,102417-3,public,Geita,Chato DC,-2.639851,31.448732,lake
KASENI,102418-1,public,Mwanza,Ukerewe DC,-1.94137,32.84717,lake
Kaseni,110865-3,public,Mwanza,Misungwi DC,-2.66092,32.9848,lake
KASENSE,102419-9,public,Rukwa,Sumbawanga MC,-7.97996,31.5049,shighland
KASENYI,102420-7,public,Mwanza,Sengerema DC,-2.51264,32.59708,lake
KASHABA,122396-5,public,Kagera,Missenyi DC,-1.15161,31.15491,lake
KASHAGULU,102423-1,public,Kigoma,Uvinza DC,-6.45671,30.04182,central
KASHAI,121788-4,public,Kagera,Bukoba MC,-1.32781,31.81257,lake
KASHAI,102424-9,public,Kagera,Bukoba MC,-1.32189,31.81814,lake
KASHAI,113037-6,private,Kagera,Bukoba MC,-1.32191,31.81808,lake
KASHAMBYA,121225-7,private,Kagera,Missenyi DC,-1.27268,31.41364,lake
KASHANGA,102425-6,public,Kagera,Missenyi DC,-1.20881,31.70203,lake
KASHANGU,124011-8,public,Singida,Itigi DC,,,central
Kasharazi,102426-4,public,Kagera,Ngara DC,-2.52161,30.75093,lake
